university,year,rank_display,score,link,country,city,region,logo,type,research_output,student_faculty_ratio,international_students,size,faculty_count,wikidata_entity,wikidata_country,award,city_id,country_id,region_id,research_output_id
Universidade do Estado do Rio de Janeiro (UERJ),2021,1001,,https://www.topuniversities.com/universities/universidade-do-estado-do-rio-de-janeiro-uerj,Brazil,Rio de Janeiro,Latin America,https://www.topuniversities.com/sites/default/files/universidade-do-estado-do-rio-de-janeiro-uerj_592560cf2aeae70239af5525_small.jpg,Public,High,13.0,140,XL,"2,558",http://www.wikidata.org/entity/Q2840233,http://www.wikidata.org/entity/Q155,2021:1001,CityRiodeJaneiroBrazil,CountryBrazil,RegionLatinAmerica,High
Universidade Estadual de Londrina,2021,1001,,https://www.topuniversities.com/universities/universidade-estadual-de-londrina,Brazil,Londrina,Latin America,https://www.topuniversities.com/sites/default/files/universidade-estadual-de-londrina_592560cf2aeae70239af5528_small.jpg,Public,High,14.0,117,L,"1,375",http://www.wikidata.org/entity/Q7894364,http://www.wikidata.org/entity/Q155,2021:1001,CityLondrinaBrazil,CountryBrazil,RegionLatinAmerica,High
Universidade Federal da Bahia,2021,1001,,https://www.topuniversities.com/universities/universidade-federal-da-bahia,Brazil,Salvador,Latin America,https://www.topuniversities.com/sites/default/files/universidade-federal-da-bahia_592560cf2aeae70239af5146_small.jpg,Public,High,16.0,438,XL,"2,629",http://www.wikidata.org/entity/Q159102,http://www.wikidata.org/entity/Q155,2021:1001,CitySalvadorBrazil,CountryBrazil,RegionLatinAmerica,High
Universidade Federal de Santa Maria,2021,1001,,https://www.topuniversities.com/universities/universidade-federal-de-santa-maria,Brazil,Frederico Westphalen,Latin America,https://www.topuniversities.com/sites/default/files/universidade-federal-de-santa-maria_592560cf2aeae70239af553e_small.jpg,Public,High,15.0,195,L,"1,985",http://www.wikidata.org/entity/Q3790133,http://www.wikidata.org/entity/Q155,2021:1001,CityFredericoWestphalenBrazil,CountryBrazil,RegionLatinAmerica,High
Universidade Federal de Viçosa (UFV),2021,1001,,https://www.topuniversities.com/universities/universidade-federal-de-vicosa-ufv,Brazil,Viçosa,Latin America,https://www.topuniversities.com/sites/default/files/universidade-federal-de-viosa-ufv_592560cf2aeae70239af5549_small.jpg,Public,High,14.0,289,L,"1,249",http://www.wikidata.org/entity/Q5814528,http://www.wikidata.org/entity/Q155,2021:1001,CityVicosaBrazil,CountryBrazil,RegionLatinAmerica,High
Universidade Federal do Ceará (UFC),2021,1001,,https://www.topuniversities.com/universities/universidade-federal-do-ceara-ufc,Brazil,Fortaleza,Latin America,https://www.topuniversities.com/sites/default/files/universidade-federal-do-cear-ufc_592560cf2aeae70239af5148_small.jpg,Public,High,16.0,310,XL,"2,098",http://www.wikidata.org/entity/Q2749558,http://www.wikidata.org/entity/Q155,2021:1001,CityFortalezaBrazil,CountryBrazil,RegionLatinAmerica,High
Universidade Federal Fluminense ,2021,1001,,https://www.topuniversities.com/universities/universidade-federal-fluminense,Brazil,Rio de Janeiro,Latin America,https://www.topuniversities.com/sites/default/files/universidade-federal-fluminense-_592560cf2aeae70239af5147_small.jpg,Public,High,18.0,799,XL,"3,203",http://www.wikidata.org/entity/Q280247,http://www.wikidata.org/entity/Q155,2021:1001,CityRiodeJaneiroBrazil,CountryBrazil,RegionLatinAmerica,High
Bocconi University,2021,,,https://www.topuniversities.com/universities/bocconi-university,Italy,Milan,Europe,https://www.topuniversities.com/sites/default/files/bocconi-university_592560cf2aeae70239af4abf_small.jpg,Private,Very High,15.0,"1,942",L,837,http://www.wikidata.org/entity/Q959524,http://www.wikidata.org/entity/Q38,,CityMilanItaly,CountryItaly,RegionEurope,VeryHigh
Universitas Muhammadiyah Surakarta,2021,1001,,https://www.topuniversities.com/universities/universitas-muhammadiyah-surakarta,Indonesia,Surakarta,Asia,https://www.topuniversities.com/sites/default/files/universitas-muhammadiyah-surakarta_592560cf2aeae70239af4e39_small.jpg,Private,Medium,19.0,91,L,"1,479",http://www.wikidata.org/entity/Q4259201,http://www.wikidata.org/entity/Q252,2021:1001,CitySurakartaIndonesia,CountryIndonesia,RegionAsia,Medium
Universität Siegen,2021,1001,,https://www.topuniversities.com/universities/universitat-siegen,Germany,Siegen,Europe,https://www.topuniversities.com/sites/default/files/universitt-siegen_592560cf2aeae70239af4fdc_small.jpg,Public,High,16.0,"2,301",L,"1,176",http://www.wikidata.org/entity/Q504723,http://www.wikidata.org/entity/Q183,2021:1001,CitySiegenGermany,CountryGermany,RegionEurope,High
Université de Caen Normandie,2021,1001,,https://www.topuniversities.com/universities/universite-de-caen-basse-normandie,France,Caen,Europe,https://www.topuniversities.com/sites/default/files/universit-de-caen-basse-normandie_592560cf2aeae70239af4ad2_small.jpg,Public,High,19.0,"1,976",L,"1,535",http://www.wikidata.org/entity/Q568554,http://www.wikidata.org/entity/Q142,2021:1001,CityCaenFrance,CountryFrance,RegionEurope,High
Université de Poitiers,2021,1001,,https://www.topuniversities.com/universities/universite-de-poitiers,France,Poitiers,Europe,https://www.topuniversities.com/sites/default/files/universit-de-poitiers_592560cf2aeae70239af4fa2_small.jpg,Public,Very High,21.0,"4,200",L,"1,308",http://www.wikidata.org/entity/Q661056,http://www.wikidata.org/entity/Q142,2021:1001,CityPoitiersFrance,CountryFrance,RegionEurope,VeryHigh
Université de Technologie de Compiègne (UTC),2021,,,https://www.topuniversities.com/universities/universite-de-technologie-de-compiegne-utc,France,Compiègne,Europe,https://www.topuniversities.com/sites/default/files/universit-de-technologie-de-compigne-utc_592560cf2aeae70239af4f87_small.jpg,Public,Very High,,,S,,http://www.wikidata.org/entity/Q622906,http://www.wikidata.org/entity/Q142,,CityCompiegneFrance,CountryFrance,RegionEurope,VeryHigh
